"id","name","is_closed","is_default","position","default_done_ratio"
1,"発生（×××が発生した）／着手（×××に着手した）",False,True,1,
2,"拡大（×××が広がっている）",False,False,2,
3,"継続（×××が続いている）",False,False,3,
4,"終息（×××が終りに向かっている）",False,False,4,
5,"終了（×××が終わった）",True,False,5,
6,"完了（着手した×××が完了した）",True,False,6,
7,"確認中（×××を確認している）",False,False,2,
8,"調整中（×××を調整している）",False,False,3,
9,"調達中（×××を入手している）",False,False,4,
10,"輸送中（×××を運んでいる）",False,False,2,
11,"探索中（×××を探している）",False,False,3,
12,"転送中（×××を伝えている）",False,False,4,
13,"移動中（×××が移動している）",False,False,2,
14,"意思決定中（×××を最終的に決めている）",False,False,3,
15,"実行中（×××を実行している）",False,False,4,
